timestamp	id	value
20501397	tpc.gps
20501397	tpc.bat_v	15.271084
20501397	tpc.bat_v_avgd	15.279595399999998
20501397	fc.state	7
20501397	fc.alt	76545.265625
21001434	gs.rssi	-89
21001434	comms.recd	3120
21001434	tpc.state	0
21001434	fc.pwr	1
21001434	tpc.gps
21001434	tpc.bat_v	15.232395
21001434	tpc.bat_v_avgd	15.277779999999998
21001434	fc.state	7
21001434	fc.alt	76535.21875
21501460	gs.rssi	-89
21501460	comms.recd	3240
21501460	tpc.state	0
21501460	fc.pwr	1
21501460	tpc.gps
21501460	tpc.bat_v	15.290428
21501460	tpc.bat_v_avgd	15.278248444444444
21501460	fc.state	7
21501460	fc.alt	76538.28125
22001501	gs.rssi	-87
22001501	comms.recd	3360
22001501	tpc.state	0
22001501	fc.pwr	1
22001501	tpc.gps
22001501	tpc.bat_v	15.271084
22001501	tpc.bat_v_avgd	15.27799257142857
22001501	fc.state	7
22001501	fc.alt	76536.640625
22501522	gs.rssi	-85
22501522	comms.recd	3480
22501522	tpc.state	0
22501522	fc.pwr	1
22501522	tpc.gps
22501522	tpc.bat_v	15.290428
22501522	tpc.bat_v_avgd	15.278421379310343
22501522	fc.state	7
22501522	fc.alt	76541.78125
23001582	gs.rssi	-84
23001582	comms.recd	3600
23001582	tpc.state	0
23001582	fc.pwr	1
23001582	tpc.gps
23001582	tpc.bat_v	15.261412
23001582	tpc.bat_v_avgd	15.277854399999999
23001582	fc.state	7
23001582	fc.alt	76538.078125
1573901166613	comms.sent	44
-1453419673	gs.rssi	-86
23501598	gs.rssi	-84
23501598	comms.recd	3720
23501598	tpc.state	0
23501598	fc.pwr	0
23501598	tpc.gps
23501598	tpc.bat_v	15.290428
23501598	tpc.bat_v_avgd	15.2781768
23501598	fc.state	7
23501598	fc.alt	-138456.796875
24001644	gs.rssi	-78
24001644	comms.recd	3776
24001644	tpc.state	0
24001644	fc.pwr	0
24001644	tpc.gps
24001644	tpc.bat_v	15.266248
24001644	tpc.bat_v_avgd	15.278338
24501701	gs.rssi	-80
24501701	comms.recd	3832
24501701	tpc.state	0
24501701	fc.pwr	0
24501701	tpc.gps
24501701	tpc.bat_v	15.314609
24501701	tpc.bat_v_avgd	15.2781768
25001758	gs.rssi	-82
25001758	comms.recd	3888
25001758	tpc.state	0
25001758	fc.pwr	0
25001758	tpc.gps
25001758	tpc.bat_v	15.280756
25001758	tpc.bat_v_avgd	15.2781768
25501816	gs.rssi	-80
25501816	comms.recd	3944
25501816	tpc.state	0
25501816	fc.pwr	0
25501816	tpc.gps
25501816	tpc.bat_v	15.25174
25501816	tpc.bat_v_avgd	15.277532000000003
1573901169373	comms.sent	88
1573901169524	comms.sent	132
-1453419673	gs.rssi	-81
26501887	gs.rssi	-82
26501887	comms.recd	4000
26501887	tpc.state	0
26501887	fc.pwr	1
26501887	tpc.gps
26501887	tpc.bat_v	15.362968
26501887	tpc.bat_v_avgd	15.280272400000003
27001921	gs.rssi	-80
27001921	comms.recd	4056
27001921	tpc.state	0
27001921	fc.pwr	1
27001921	tpc.gps
27001921	tpc.bat_v	15.261412
27001921	tpc.bat_v_avgd	15.281562033333335
27501936	gs.rssi	-81
27501936	comms.recd	4168
27501936	tpc.state	0
27501936	fc.pwr	1
27501936	tpc.gps
27501936	tpc.bat_v	15.285592
27501936	tpc.bat_v_avgd	15.281562033333337
27501936	fc.state	0
27501936	fc.alt	0
28001937	gs.rssi	-80
28001937	comms.recd	4280
28001937	tpc.state	0
28001937	fc.pwr	1
28001937	tpc.gps
28001937	tpc.bat_v	15.198543
28001937	tpc.bat_v_avgd	15.279788800000002
28001937	fc.state	0
28001937	fc.alt	0
28501976	gs.rssi	-80
28501976	comms.recd	4392
28501976	tpc.state	0
28501976	fc.pwr	1
28501976	tpc.gps
28501976	tpc.bat_v	15.290428
28501976	tpc.bat_v_avgd	15.279788800000006
28501976	fc.state	0
28501976	fc.alt	0
29001984	gs.rssi	-81
29001984	comms.recd	4504
29001984	tpc.state	0
29001984	fc.pwr	1
29001984	tpc.gps
29001984	tpc.bat_v	15.280756
29001984	tpc.bat_v_avgd	15.279627600000003
29001984	fc.state	0
29001984	fc.alt	0
29502039	gs.rssi	-81
29502039	comms.recd	4616
29502039	tpc.state	0
29502039	fc.pwr	1
29502039	tpc.gps
29502039	tpc.bat_v	15.271084
29502039	tpc.bat_v_avgd	15.27688716666667
29502039	fc.state	0
29502039	fc.alt	0
30002093	gs.rssi	-81
30002093	comms.recd	4728
30002093	tpc.state	0
30002093	fc.pwr	1
30002093	tpc.gps
30002093	tpc.bat_v	15.290428
30002093	tpc.bat_v_avgd	15.277048366666667
30002093	fc.state	0
30002093	fc.alt	0
30502150	gs.rssi	-80
30502150	comms.recd	4840
30502150	tpc.state	0
30502150	fc.pwr	1
30502150	tpc.gps
30502150	tpc.bat_v	15.3001
30502150	tpc.bat_v_avgd	15.277370766666667
30502150	fc.state	0
30502150	fc.alt	0
31002186	gs.rssi	-81
31002186	comms.recd	4952
31002186	tpc.state	0
31002186	fc.pwr	1
31002186	tpc.gps
31002186	tpc.bat_v	15.290428
31002186	tpc.bat_v_avgd	15.277048366666666
31002186	fc.state	0
31002186	fc.alt	0
31502248	gs.rssi	-81
31502248	comms.recd	5064
31502248	tpc.state	0
31502248	fc.pwr	1
31502248	tpc.gps
31502248	tpc.bat_v	15.261412
31502248	tpc.bat_v_avgd	15.277048366666667
31502248	fc.state	0
31502248	fc.alt	0
32002292	gs.rssi	-82
32002292	comms.recd	5176
32002292	tpc.state	0
32002292	fc.pwr	1
32002292	tpc.gps
32002292	tpc.bat_v	15.266248
32002292	tpc.bat_v_avgd	15.276403566666666
32002292	fc.state	0
32002292	fc.alt	0
32502292	gs.rssi	-81
32502292	comms.recd	5288
32502292	tpc.state	0
32502292	fc.pwr	1
32502292	tpc.gps
32502292	tpc.bat_v	15.27592
32502292	tpc.bat_v_avgd	15.276403566666668
32502292	fc.state	0
32502292	fc.alt	0
33002310	gs.rssi	-81
33002310	comms.recd	5400
33002310	tpc.state	0
33002310	fc.pwr	1
33002310	tpc.gps
33002310	tpc.bat_v	15.290428
33002310	tpc.bat_v_avgd	15.277370766666667
33002310	fc.state	0
33002310	fc.alt	0
33502319	gs.rssi	-82
33502319	comms.recd	5512
33502319	tpc.state	0
33502319	fc.pwr	1
33502319	tpc.gps
33502319	tpc.bat_v	15.261412
33502319	tpc.bat_v_avgd	15.27608116666667
33502319	fc.state	0
33502319	fc.alt	0
34002331	gs.rssi	-83
34002331	comms.recd	5624
34002331	tpc.state	0
34002331	fc.pwr	1
34002331	tpc.gps
34002331	tpc.bat_v	15.27592
34002331	tpc.bat_v_avgd	15.276887166666667
34002331	fc.state	0
34002331	fc.alt	0
34502391	gs.rssi	-86
34502391	comms.recd	5736
34502391	tpc.state	0
34502391	fc.pwr	1
34502391	tpc.gps
34502391	tpc.bat_v	15.256576
34502391	tpc.bat_v_avgd	15.276887166666667
34502391	fc.state	0
34502391	fc.alt	0
35002434	gs.rssi	-86
35002434	comms.recd	5848
35002434	tpc.state	0
35002434	fc.pwr	1
35002434	tpc.gps
35002434	tpc.bat_v	15.329117
35002434	tpc.bat_v_avgd	15.2784992
35002434	fc.state	0
35002434	fc.alt	0
35502460	gs.rssi	-85
35502460	comms.recd	5960
35502460	tpc.state	0
35502460	fc.pwr	1
35502460	tpc.gps
35502460	tpc.bat_v	15.280756
35502460	tpc.bat_v_avgd	15.278338
35502460	fc.state	0
35502460	fc.alt	0
36002522	gs.rssi	-90
36002522	comms.recd	6080
36002522	tpc.state	0
36002522	fc.pwr	1
36002522	tpc.gps
36002522	tpc.bat_v	15.290428
36002522	tpc.bat_v_avgd	15.278982800000001
36002522	fc.state	5
36002522	fc.alt	26658.59375
36502569	gs.rssi	-87
36502569	comms.recd	6200
36502569	tpc.state	0
36502569	fc.pwr	1
36502569	tpc.gps
36502569	tpc.bat_v	15.304936
36502569	tpc.bat_v_avgd	15.281400833333334
36502569	fc.state	5
36502569	fc.alt	26650.390625
37002614	gs.rssi	-86
37002614	comms.recd	6320
37002614	tpc.state	0
37002614	fc.pwr	1
37002614	tpc.gps
37002614	tpc.bat_v	15.3001
37002614	tpc.bat_v_avgd	15.281723233333334
37002614	fc.state	5
37002614	fc.alt	26657.578125
37502627	gs.rssi	-87
37502627	comms.recd	6440
37502627	tpc.state	0
37502627	fc.pwr	1
37502627	tpc.gps
37502627	tpc.bat_v	15.295264
37502627	tpc.bat_v_avgd	15.282529233333332
37502627	fc.state	5
37502627	fc.alt	26659.421875
38002661	gs.rssi	-85
38002661	comms.recd	6560
38002661	tpc.state	0
38002661	fc.pwr	1
38002661	tpc.gps
38002661	tpc.bat_v	15.343625
